State,Year,unemployment_rate
Alabama,1999,4.733333333333333
Alabama,2000,4.641666666666667
Alabama,2001,5.1499999999999995
Alabama,2002,5.891666666666667
Alabama,2003,5.95
Alabama,2004,5.575
Alabama,2005,4.458333333333333
Alabama,2006,4.008333333333333
Alabama,2007,4.066666666666666
Alabama,2008,5.916666666666667
Alabama,2009,9.733333333333333
Alabama,2010,10.375
Alabama,2011,9.558333333333334
Alabama,2012,8.174999999999999
Alabama,2013,7.358333333333333
Alabama,2014,6.766666666666667
Alabama,2015,6.083333333333333
Alabama,2016,5.8
Alabama,2017,4.508333333333334
Alabama,2018,3.9250000000000003
Alabama,2019,3.1916666666666664
Alabama,2020,6.408333333333334
Alabama,2021,3.35
Alabama,2022,2.4916666666666667
Alabama,2023,2.4666666666666663
Alabama,2024,3.058333333333333
Alaska,1999,6.3500000000000005
Alaska,2000,6.291666666666667
Alaska,2001,6.283333333333334
Alaska,2002,7.166666666666667
Alaska,2003,7.675
Alaska,2004,7.416666666666667
Alaska,2005,6.925
Alaska,2006,6.616666666666667
Alaska,2007,6.25
Alaska,2008,6.508333333333333
Alaska,2009,7.833333333333333
Alaska,2010,7.991666666666667
Alaska,2011,7.608333333333333
Alaska,2012,7.133333333333333
Alaska,2013,6.925000000000001
Alaska,2014,6.741666666666667
Alaska,2015,6.283333333333334
Alaska,2016,6.625
Alaska,2017,6.608333333333333
Alaska,2018,6.091666666666666
Alaska,2019,5.6000000000000005
Alaska,2020,8.283333333333333
Alaska,2021,6.3999999999999995
Alaska,2022,4.258333333333334
Alaska,2023,4.241666666666666
Alaska,2024,4.591666666666667
Arizona,1999,4.466666666666667
Arizona,2000,3.983333333333333
Arizona,2001,4.7250000000000005
Arizona,2002,6.158333333333334
Arizona,2003,5.783333333333334
Arizona,2004,4.958333333333333
Arizona,2005,4.641666666666667
Arizona,2006,4.266666666666667
Arizona,2007,3.6999999999999997
Arizona,2008,5.766666666666667
Arizona,2009,9.716666666666667
Arizona,2010,10.358333333333333
Arizona,2011,9.5
Arizona,2012,8.391666666666667
Arizona,2013,7.841666666666666
Arizona,2014,6.816666666666666
Arizona,2015,6.108333333333333
Arizona,2016,5.5
Arizona,2017,4.958333333333333
Arizona,2018,4.808333333333334
Arizona,2019,4.816666666666666
Arizona,2020,7.825
Arizona,2021,5.041666666666667
Arizona,2022,3.716666666666667
Arizona,2023,3.6666666666666665
Arizona,2024,3.6
Arkansas,1999,4.516666666666667
Arkansas,2000,4.166666666666667
Arkansas,2001,4.741666666666666
Arkansas,2002,5.333333333333333
Arkansas,2003,5.758333333333333
Arkansas,2004,5.566666666666666
Arkansas,2005,5.266666666666667
Arkansas,2006,5.233333333333333
Arkansas,2007,5.383333333333333
Arkansas,2008,5.416666666666667
Arkansas,2009,7.708333333333333
Arkansas,2010,7.833333333333333
Arkansas,2011,7.883333333333333
Arkansas,2012,7.258333333333333
Arkansas,2013,7.041666666666667
Arkansas,2014,5.875
Arkansas,2015,4.95
Arkansas,2016,3.975
Arkansas,2017,3.7416666666666667
Arkansas,2018,3.65
Arkansas,2019,3.4916666666666667
Arkansas,2020,6.158333333333334
Arkansas,2021,4.033333333333333
Arkansas,2022,3.1750000000000003
